protocol_version,case_id,fixture_id,evidence_layer,operation,target_json_pointer,decision_contract_digest,complete_decision,library_outcome,operational_outcome,ablated_decision,assurance_case_emitted,error_type,error_code,detection_boundary,complete_attempts,ablated_attempts,complete_total_cost_usd,ablated_total_cost_usd,complete_p95_cost_usd,ablated_p95_cost_usd,complete_max_calls,ablated_max_calls,false_scale
1,drop_outcome_record,clean,outcomes,delete_list_item,/outcomes/0,dc7704f81861ba246016e78f077fd5b38238be846a9e95db7a13118a655d5983,SCALE,EVIDENCE_ERROR,INCOMPLETE,,false,ValueError,TRACE_OUTCOME_MISMATCH,semantic_validation,2,,0.2000,,0.1000,,1,,false
1,drop_baseline_object,clean,baseline,delete_mapping_key,/baseline,dc7704f81861ba246016e78f077fd5b38238be846a9e95db7a13118a655d5983,SCALE,SCHEMA_ERROR,INCOMPLETE,,false,KeyError,MISSING_BASELINE,raw_schema,2,,0.2000,,0.1000,,1,,false
1,drop_incident_loss,incident,outcome_cost,delete_mapping_key,/outcomes/0/incident_loss_usd,dc7704f81861ba246016e78f077fd5b38238be846a9e95db7a13118a655d5983,ASSIST,DECISION,SCALE,SCALE,true,,,none,2,2,3.2000,0.2000,3.1000,0.1000,1,1,true
1,drop_remediation_cost,remediation,outcome_cost,delete_mapping_key,/outcomes/0/remediation_cost_usd,dc7704f81861ba246016e78f077fd5b38238be846a9e95db7a13118a655d5983,ASSIST,DECISION,SCALE,SCALE,true,,,none,2,2,3.2000,0.2000,3.1000,0.1000,1,1,true
1,drop_human_review_time,human-review,outcome_cost,delete_mapping_key,/outcomes/0/human_minutes,dc7704f81861ba246016e78f077fd5b38238be846a9e95db7a13118a655d5983,ASSIST,DECISION,SCALE,SCALE,true,,,none,2,2,3.2000,0.2000,3.1000,0.1000,1,1,true
1,drop_trace_cost,trace-cost,trace_cost,delete_mapping_key,/events/0/direct_cost_usd,dc7704f81861ba246016e78f077fd5b38238be846a9e95db7a13118a655d5983,ASSIST,DECISION,SCALE,SCALE,true,,,none,2,2,2.1000,0.1000,2.0000,0.1000,1,1,true
1,drop_manifest_task,clean,task_manifest,delete_list_item,/task_manifest/0,dc7704f81861ba246016e78f077fd5b38238be846a9e95db7a13118a655d5983,SCALE,EVIDENCE_ERROR,INCOMPLETE,,false,ValueError,MANIFEST_COVERAGE_MISMATCH,semantic_validation,2,,0.2000,,0.1000,,1,,false
1,drop_policy_threshold,clean,policy,delete_mapping_key,/policy/max_cost_per_acceptable_outcome_usd,dc7704f81861ba246016e78f077fd5b38238be846a9e95db7a13118a655d5983,SCALE,SCHEMA_ERROR,INCOMPLETE,,false,TypeError,MISSING_POLICY_THRESHOLD,raw_schema,2,,0.2000,,0.1000,,1,,false
1,drop_timed_out_event,timed-out-event,attempt_trace,delete_list_item,/events/1,dc7704f81861ba246016e78f077fd5b38238be846a9e95db7a13118a655d5983,ASSIST,DECISION,SCALE,SCALE,true,,,none,2,2,0.3000,0.2000,0.2000,0.1000,2,1,true
